Gene,label
ENSG00000085999,6
ENSG00000086062,12
ENSG00000086102,1
ENSG00000086200,22;1
ENSG00000086589,1
ENSG00000086758,7;6
ENSG00000087087,6
ENSG00000087206,10
ENSG00000087253,11;23
ENSG00000087269,8;1
ENSG00000087274,6;5
ENSG00000087299,0
ENSG00000087365,4
ENSG00000087470,7
ENSG00000087495,6
ENSG00000088205,8
ENSG00000088247,6
ENSG00000088325,24;14;25;6
ENSG00000088538,7
ENSG00000088833,7;6;5
ENSG00000088888,0
ENSG00000088930,8;1
ENSG00000089063,11
ENSG00000089154,7
ENSG00000089159,16
ENSG00000089199,9
ENSG00000089280,6
ENSG00000089639,7;6
ENSG00000089685,24
ENSG00000089775,6
ENSG00000089902,6
ENSG00000090060,6
ENSG00000090273,7
ENSG00000090316,6
ENSG00000090621,7
ENSG00000090861,7
ENSG00000090889,24;6
ENSG00000091164,7
ENSG00000091483,0
ENSG00000091490,1
ENSG00000091527,7;8;5
ENSG00000092067,6
ENSG00000092199,6
ENSG00000092330,10
ENSG00000092621,7;6;5
ENSG00000092820,5
ENSG00000092853,6
ENSG00000093000,15;6
ENSG00000094916,1
ENSG00000095139,12;9
ENSG00000096060,6
ENSG00000096696,20
ENSG00000096717,7;0;1
ENSG00000097007,6
ENSG00000097033,7
ENSG00000099194,11
ENSG00000099284,6
ENSG00000099783,6
ENSG00000099812,16;5
ENSG00000099864,5
ENSG00000099889,20
ENSG00000099942,6
ENSG00000099992,5
ENSG00000099995,4
ENSG00000100023,6
ENSG00000100029,8;1
ENSG00000100084,6
ENSG00000100142,22;1
ENSG00000100162,7
ENSG00000100196,11
ENSG00000100201,4
ENSG00000100216,0
ENSG00000100227,4
ENSG00000100243,11
ENSG00000100297,6
ENSG00000100324,7;4
ENSG00000100347,0
ENSG00000100348,0
ENSG00000100380,7
ENSG00000100393,6
ENSG00000100401,7;15;9
ENSG00000100410,6
ENSG00000100490,6;9
ENSG00000100503,18
ENSG00000100526,7
ENSG00000100568,9
ENSG00000100575,0
ENSG00000100603,6
ENSG00000100650,8;1
ENSG00000100714,7
ENSG00000100722,4
ENSG00000100764,7;6
ENSG00000100784,6
ENSG00000100815,12
ENSG00000100823,1
ENSG00000100867,0;1
ENSG00000100889,0
ENSG00000100897,6
ENSG00000100906,7
ENSG00000100941,4
ENSG00000100949,6
ENSG00000101057,7;6
ENSG00000101109,7;6
ENSG00000101115,6
ENSG00000101138,6
ENSG00000101161,4
ENSG00000101210,7;8
ENSG00000101216,6
ENSG00000101361,22
ENSG00000101365,0
ENSG00000101367,7;14
ENSG00000101412,6
ENSG00000101457,1
ENSG00000101558,11
ENSG00000101654,6
ENSG00000101811,10;6
ENSG00000102030,7;8
ENSG00000102081,7
ENSG00000102103,4
ENSG00000102119,15
ENSG00000102241,6
ENSG00000102316,7;8;1
ENSG00000102471,9
ENSG00000102786,6
ENSG00000102901,10
ENSG00000102935,1
ENSG00000102977,10
ENSG00000103035,6
ENSG00000103067,6
ENSG00000103194,7;6
ENSG00000103197,7
ENSG00000103199,7;6
ENSG00000103275,7
ENSG00000103365,12
ENSG00000103495,1
ENSG00000103496,5
ENSG00000103549,6
ENSG00000103769,14;9
ENSG00000104067,20
ENSG00000104112,9
ENSG00000104131,7
ENSG00000104299,6
ENSG00000104312,7
ENSG00000104408,7;10
ENSG00000104413,10;6
ENSG00000104611,7
ENSG00000104722,3
ENSG00000104738,6
ENSG00000104765,0
ENSG00000104852,6
ENSG00000104859,1
ENSG00000104880,7
ENSG00000104881,7
ENSG00000104885,6
ENSG00000104889,7;1
ENSG00000104980,0
ENSG00000105063,7
ENSG00000105173,6
ENSG00000105186,7
ENSG00000105193,7;11
ENSG00000105202,22
ENSG00000105258,6
ENSG00000105281,5
ENSG00000105289,20
ENSG00000105323,6
ENSG00000105355,23
ENSG00000105373,8
ENSG00000105379,0
ENSG00000105401,7
ENSG00000105483,7;6
ENSG00000105669,12
ENSG00000105676,7
ENSG00000105705,6
ENSG00000105717,9
ENSG00000105722,6
ENSG00000105755,0
ENSG00000105856,4
ENSG00000105866,6
ENSG00000105928,7
ENSG00000105939,7
ENSG00000105953,0
ENSG00000106153,0
ENSG00000106211,7
ENSG00000106244,7;5
ENSG00000106344,8
ENSG00000106628,6
ENSG00000106803,11
ENSG00000107130,5
ENSG00000107159,5
ENSG00000107185,7
ENSG00000107338,7;6
ENSG00000107625,8
ENSG00000107651,9
ENSG00000107672,6
ENSG00000107679,1
ENSG00000107819,0
ENSG00000107874,7;6
ENSG00000107897,17
ENSG00000107929,7
ENSG00000107937,8
ENSG00000108039,7
ENSG00000108064,0
ENSG00000108094,6
ENSG00000108262,7;16
ENSG00000108312,22
ENSG00000108423,7;6
ENSG00000108557,6
ENSG00000108588,11
ENSG00000108592,8
ENSG00000108602,7
ENSG00000108604,6
ENSG00000108651,8
ENSG00000108654,6
ENSG00000108774,19
ENSG00000108829,11
ENSG00000108848,4
ENSG00000108924,1
ENSG00000109079,8
ENSG00000109118,6
ENSG00000109132,6
ENSG00000109171,18;7
ENSG00000109189,8
ENSG00000109220,5;9
ENSG00000109586,12
ENSG00000109606,4
ENSG00000109674,6
ENSG00000109787,6
ENSG00000109814,6
ENSG00000109846,7;5
ENSG00000109920,4
ENSG00000110002,1
ENSG00000110031,7;16
ENSG00000110048,7;12
ENSG00000110075,7;6;5
ENSG00000110104,8;1
ENSG00000110107,4
ENSG00000110218,5
ENSG00000110274,18
ENSG00000110321,7
ENSG00000110619,7
ENSG00000110697,7
ENSG00000110768,6
ENSG00000110955,0
ENSG00000111011,4
ENSG00000111057,7
ENSG00000111087,7;6
ENSG00000111424,6
ENSG00000111530,7;12;6
ENSG00000111605,4;6
ENSG00000111615,8;1
ENSG00000111640,7;5
ENSG00000111642,1
ENSG00000111669,6
ENSG00000111676,6
ENSG00000111716,7
ENSG00000111875,1
ENSG00000112118,6
ENSG00000112167,9
ENSG00000112183,7;6
ENSG00000112210,7;5
ENSG00000112234,4
ENSG00000112294,0
ENSG00000112312,6
ENSG00000112425,6
ENSG00000112578,8
ENSG00000112992,0
ENSG00000113013,0
ENSG00000113141,4
ENSG00000113163,12;6
ENSG00000113194,23
ENSG00000113312,7
ENSG00000113368,15
ENSG00000113460,8
ENSG00000113522,6
ENSG00000113569,15
ENSG00000113580,7;6
ENSG00000113643,7
ENSG00000113649,6
ENSG00000113719,9
ENSG00000113761,1
ENSG00000113845,0
ENSG00000113916,6
ENSG00000114023,0
ENSG00000114026,6
ENSG00000114030,7;1
ENSG00000114346,7;1
ENSG00000114416,7
ENSG00000114439,7;6
ENSG00000114450,5
ENSG00000114503,6
ENSG00000114554,1
ENSG00000114805,9
ENSG00000114861,6
ENSG00000114867,7
ENSG00000114982,1
ENSG00000115053,8
ENSG00000115241,6
ENSG00000115275,11
ENSG00000115289,6
ENSG00000115295,9
ENSG00000115310,11
ENSG00000115415,7;6
ENSG00000115421,6
ENSG00000115514,7
ENSG00000115524,4
ENSG00000115539,7;1
ENSG00000115548,6
ENSG00000115641,13;16
ENSG00000115657,12
ENSG00000115806,12
ENSG00000115866,7
ENSG00000115875,6
ENSG00000115944,0;8
ENSG00000115966,6
ENSG00000115998,1
ENSG00000116095,12
ENSG00000116161,7;6
ENSG00000116171,17
ENSG00000116212,6
ENSG00000116337,7
ENSG00000116478,6
ENSG00000116560,6
ENSG00000116580,10;6
ENSG00000116604,6
ENSG00000116701,7
ENSG00000116863,6
ENSG00000117054,0
ENSG00000117133,8
ENSG00000117222,8;1
ENSG00000117360,6
ENSG00000117394,5
ENSG00000117395,8
ENSG00000117399,7;1
ENSG00000117519,13;7
ENSG00000117523,7
ENSG00000117525,9
ENSG00000117528,17
ENSG00000117595,7
ENSG00000117691,1
ENSG00000117713,6
ENSG00000117748,10;6
ENSG00000117751,4;6
ENSG00000117877,22;1
ENSG00000117906,11
ENSG00000118007,10;1
ENSG00000118260,6
ENSG00000118418,1
ENSG00000118515,4
ENSG00000118689,1
ENSG00000118762,11
ENSG00000118777,1;5
ENSG00000119139,20;7;5
ENSG00000119285,0;22
ENSG00000119383,7;6
ENSG00000119421,0
ENSG00000119523,13;7
ENSG00000119669,6
ENSG00000119707,4
ENSG00000119711,0
ENSG00000119866,6
ENSG00000120075,1
ENSG00000120278,6
ENSG00000120370,7;12
ENSG00000120539,6
ENSG00000120694,7;6
ENSG00000120733,6
ENSG00000120738,6
ENSG00000120802,15
ENSG00000120899,7;5
ENSG00000120915,7
ENSG00000120948,6
ENSG00000121022,6
ENSG00000121058,10;22
ENSG00000121481,6
ENSG00000121653,5
ENSG00000121774,6
ENSG00000121892,6
ENSG00000121940,11
ENSG00000122008,10;6
ENSG00000122188,7;12;5
ENSG00000122257,4
ENSG00000122512,6
ENSG00000122545,13
ENSG00000122566,6
ENSG00000122585,12
ENSG00000122674,9
ENSG00000122705,19;2;9
ENSG00000122779,6
ENSG00000122786,13;5
ENSG00000122958,19
ENSG00000122971,0
ENSG00000123240,7
ENSG00000123268,6
ENSG00000123352,7
ENSG00000123374,6
ENSG00000123454,9
ENSG00000123485,8;1
ENSG00000123562,1
ENSG00000123737,8
ENSG00000123815,0
ENSG00000123836,1
ENSG00000124164,11
ENSG00000124207,7;6
ENSG00000124222,9
ENSG00000124356,7;6;5
ENSG00000124383,8
ENSG00000124496,6
ENSG00000124523,0
ENSG00000124562,6
ENSG00000124571,6
ENSG00000124608,0
ENSG00000124659,7
ENSG00000124789,15
ENSG00000124795,1
ENSG00000124813,6
ENSG00000125351,7
ENSG00000125398,6
ENSG00000125618,6
ENSG00000125651,1
ENSG00000125656,0
ENSG00000125817,10
ENSG00000125818,7
ENSG00000125844,11
ENSG00000125845,9
ENSG00000125901,0
ENSG00000125944,6
ENSG00000125968,6
ENSG00000125970,6
ENSG00000126010,5
ENSG00000126012,6
ENSG00000126067,6
ENSG00000126215,1
ENSG00000126432,7;0
ENSG00000126561,7;6
ENSG00000126602,0
ENSG00000126698,6
ENSG00000126749,8;1
ENSG00000126767,6
ENSG00000126777,11
ENSG00000126945,6
ENSG00000126953,0
ENSG00000127022,11
ENSG00000127191,7
ENSG00000127423,18
ENSG00000127445,7;6
ENSG00000127526,12
ENSG00000127554,7;0
ENSG00000127586,6
ENSG00000127824,21
ENSG00000127831,5
ENSG00000127838,0
ENSG00000127884,0
ENSG00000127914,12
ENSG00000127946,9
ENSG00000127993,6
ENSG00000128342,7
ENSG00000128422,3
ENSG00000128573,6
ENSG00000128641,5
ENSG00000128652,6
ENSG00000128694,0
ENSG00000128708,6
ENSG00000128908,10;6
ENSG00000128923,6
ENSG00000128928,0
ENSG00000129083,7;12;9
ENSG00000129084,6
ENSG00000129158,7;6
ENSG00000129195,1
ENSG00000129315,6
ENSG00000129347,8
ENSG00000129422,21
ENSG00000129559,6
ENSG00000129680,18
ENSG00000129696,18
ENSG00000129993,6
ENSG00000130175,11
ENSG00000130204,0
ENSG00000130305,8;1
ENSG00000130340,7;5
ENSG00000130396,20;5
ENSG00000130475,7;6
ENSG00000130479,7
ENSG00000130513,12
ENSG00000130699,6
ENSG00000130726,6
ENSG00000130749,7;6
ENSG00000130770,0
ENSG00000130787,7;5;9
ENSG00000130803,6
ENSG00000130811,7
ENSG00000130816,6
ENSG00000130935,8
ENSG00000130958,12
ENSG00000130985,6
ENSG00000130997,6
ENSG00000131368,0
ENSG00000131381,9
ENSG00000131467,6
ENSG00000131626,7;16
ENSG00000131711,7
ENSG00000131844,0
ENSG00000131871,11
ENSG00000132002,7;1
ENSG00000132170,1;9
ENSG00000132300,0
ENSG00000132305,0
ENSG00000132383,6
ENSG00000132463,0
ENSG00000132475,6
ENSG00000132485,1
ENSG00000132507,7;6
ENSG00000132591,7;0
ENSG00000132688,3
ENSG00000132773,10;6
ENSG00000132780,6
ENSG00000132881,6
ENSG00000133026,13;7;0
ENSG00000133115,5
ENSG00000133131,6
ENSG00000133226,4
ENSG00000133313,6
ENSG00000133710,9
ENSG00000133805,15
ENSG00000133835,17
ENSG00000133961,20
ENSG00000133997,6
ENSG00000134001,7
ENSG00000134046,6
ENSG00000134056,0
ENSG00000134057,7
ENSG00000134086,6
ENSG00000134146,8;1
ENSG00000134283,6
ENSG00000134317,12;1;9
ENSG00000134595,6
ENSG00000134684,7
ENSG00000134697,8
ENSG00000134698,7;6
ENSG00000134748,1
ENSG00000134762,20
ENSG00000134809,0
ENSG00000134851,12
ENSG00000134852,6
ENSG00000134884,0;6
ENSG00000134954,6
ENSG00000135046,7;6;5
ENSG00000135052,12
ENSG00000135069,7
ENSG00000135218,12
ENSG00000135315,7;5
ENSG00000135316,7;6
ENSG00000135336,6
ENSG00000135372,8
ENSG00000135486,6
ENSG00000135503,7
ENSG00000135521,7;6
ENSG00000135631,14;9
ENSG00000135655,7
ENSG00000135763,8
ENSG00000135801,4
ENSG00000135823,12;6
ENSG00000135829,1
ENSG00000135924,15
ENSG00000135929,0
ENSG00000135940,0
ENSG00000135968,12
ENSG00000135972,0
ENSG00000136010,0
ENSG00000136051,6
ENSG00000136104,1
ENSG00000136108,21
ENSG00000136114,7
ENSG00000136143,0
ENSG00000136156,12;9
ENSG00000136205,16
ENSG00000136231,7
ENSG00000136243,1
ENSG00000136270,0
ENSG00000136280,0
ENSG00000136450,6
ENSG00000136463,0
ENSG00000136518,6
ENSG00000136522,0
ENSG00000136527,6
ENSG00000136628,7
ENSG00000136643,7;19;2
ENSG00000136718,8
ENSG00000136810,7;1
ENSG00000136819,6
ENSG00000136861,18
ENSG00000136875,4
ENSG00000136935,12
ENSG00000136938,6
ENSG00000136986,11
ENSG00000136997,6
ENSG00000137074,8;1
ENSG00000137133,0
ENSG00000137154,7;11
ENSG00000137200,7;6
ENSG00000137203,6
ENSG00000137207,12
ENSG00000137216,13;5
ENSG00000137275,7;5
ENSG00000137404,15
ENSG00000137413,6
ENSG00000137497,6
ENSG00000137500,0
ENSG00000137502,9
ENSG00000137574,7
ENSG00000137656,1
ENSG00000137710,5
ENSG00000137714,0
ENSG00000137720,6
ENSG00000137767,0
ENSG00000137770,6
ENSG00000137776,10;6
ENSG00000137804,1
ENSG00000137806,7
ENSG00000137807,6
ENSG00000137812,10;6
ENSG00000137818,7;11
ENSG00000137824,0
ENSG00000137876,8;1
ENSG00000137996,1
ENSG00000138035,0
ENSG00000138095,0
ENSG00000138363,7;5
ENSG00000138430,7
ENSG00000138668,6
ENSG00000138757,7
ENSG00000138768,12
ENSG00000138814,6
ENSG00000138835,7;6
ENSG00000139083,8
ENSG00000139218,6
ENSG00000139223,6
ENSG00000139233,8
ENSG00000139579,6
ENSG00000139613,6
ENSG00000139687,6
ENSG00000139718,6
ENSG00000139970,11
ENSG00000140105,7
ENSG00000140319,8;1
ENSG00000140326,7
ENSG00000140350,6
ENSG00000140374,0
ENSG00000140395,6
ENSG00000140400,6
ENSG00000140464,10
ENSG00000140525,6
ENSG00000140534,6
ENSG00000140563,7;6
ENSG00000140577,7;6
ENSG00000140632,6
ENSG00000140740,0
ENSG00000140968,6
ENSG00000141027,7;6
ENSG00000141367,9
ENSG00000141385,0
ENSG00000141456,8;1
ENSG00000141499,7;10
ENSG00000141510,6
ENSG00000141522,7
ENSG00000141552,8;6
ENSG00000141564,2
ENSG00000141570,6
ENSG00000141582,6
ENSG00000141644,6;9
ENSG00000141867,6
ENSG00000141905,1
ENSG00000141985,7
ENSG00000142102,7
ENSG00000142453,6
ENSG00000142546,1
ENSG00000142611,6
ENSG00000142684,8;1
ENSG00000142864,7
ENSG00000143256,7
ENSG00000143294,4
ENSG00000143321,6
ENSG00000143337,15
ENSG00000143373,6
ENSG00000143379,6
ENSG00000143384,0
ENSG00000143442,6
ENSG00000143476,1
ENSG00000143514,20;7
ENSG00000143614,6
ENSG00000143621,1
ENSG00000143633,8
ENSG00000143641,12
ENSG00000143702,18
ENSG00000143748,8
ENSG00000143799,1
ENSG00000143815,15
ENSG00000143842,6
ENSG00000143952,12
ENSG00000143970,6
ENSG00000144283,20
ENSG00000144381,0
ENSG00000144589,9
ENSG00000144655,6
ENSG00000144852,6
ENSG00000145012,7;16
ENSG00000145041,22;1
ENSG00000145191,7
ENSG00000145216,6
ENSG00000145241,10
ENSG00000145247,0
ENSG00000145332,6
ENSG00000145386,7;6
ENSG00000145414,1
ENSG00000145425,7;11;8
ENSG00000145833,4
ENSG00000145907,7
ENSG00000145945,24;6
ENSG00000146038,7;14;21;25
ENSG00000146067,1
ENSG00000146281,6
ENSG00000146285,6
ENSG00000146411,20;5
ENSG00000146457,4
ENSG00000146574,9
ENSG00000146648,5
ENSG00000146701,0
ENSG00000146826,14;9
ENSG00000146858,7
ENSG00000146909,8
ENSG00000147065,5
ENSG00000147123,0
ENSG00000147130,6
ENSG00000147133,6
ENSG00000147140,6
ENSG00000147383,11;23
ENSG00000147403,7;11
ENSG00000147421,7;10;6
ENSG00000147459,7
ENSG00000147586,0
ENSG00000147649,11
ENSG00000147654,12
ENSG00000147697,0
ENSG00000147854,6
ENSG00000147889,8
ENSG00000147905,7;8
ENSG00000148082,7;6
ENSG00000148291,8;1
ENSG00000148296,8
ENSG00000148308,6
ENSG00000148335,7;6
ENSG00000148337,6
ENSG00000148498,20
ENSG00000148773,10;8;1
ENSG00000148840,6
ENSG00000148842,9
ENSG00000149187,6
ENSG00000149257,11
ENSG00000149273,7;11
ENSG00000149294,7;5
ENSG00000149300,20
ENSG00000149480,6
ENSG00000149761,6
ENSG00000149782,6
ENSG00000149929,1
ENSG00000150760,1
ENSG00000150768,0
ENSG00000151151,1
ENSG00000151239,7
ENSG00000151247,26;7
ENSG00000151276,20;6
ENSG00000151475,0
ENSG00000151657,1
ENSG00000151729,0
ENSG00000151929,7;5
ENSG00000151948,7
ENSG00000152104,6
ENSG00000152253,7
ENSG00000152291,12;6
ENSG00000152601,6
ENSG00000152683,12
ENSG00000152795,6
ENSG00000152942,6
ENSG00000153015,6
ENSG00000153071,5;9
ENSG00000153113,7;11
ENSG00000153132,11
ENSG00000153406,1
ENSG00000153767,1
ENSG00000153786,12
ENSG00000153914,4;6
ENSG00000154144,1
ENSG00000154174,0
ENSG00000154229,7;5
ENSG00000154277,7
ENSG00000154305,9
ENSG00000154328,6
ENSG00000154370,7;1
ENSG00000154380,7;16;5
ENSG00000154473,6
ENSG00000154639,20;5
ENSG00000154727,6
ENSG00000154743,6
ENSG00000154767,1;5
ENSG00000154781,6
ENSG00000154832,1
ENSG00000155229,6
ENSG00000155307,5
ENSG00000155380,20;5
ENSG00000155438,8
ENSG00000155545,6
ENSG00000155827,6
ENSG00000156030,6
ENSG00000156127,6
ENSG00000156171,12;9
ENSG00000156304,6
ENSG00000156510,0
ENSG00000156515,0
ENSG00000156531,8;1
ENSG00000156675,9
ENSG00000156802,6
ENSG00000156928,0
ENSG00000157077,7;9
ENSG00000157456,7
ENSG00000157557,6
ENSG00000157637,12
ENSG00000157895,8
ENSG00000157916,12
ENSG00000158092,7;5
ENSG00000158161,6
ENSG00000158290,6
ENSG00000158411,9
ENSG00000158545,4
ENSG00000158636,6
ENSG00000158773,6
ENSG00000158864,0;6
ENSG00000158941,10;6
ENSG00000159111,0
ENSG00000159140,4
ENSG00000159166,13
ENSG00000159184,6
ENSG00000159214,7;5
ENSG00000159216,6;9
ENSG00000159256,6
ENSG00000159352,7;6
ENSG00000159692,6
ENSG00000159784,7;6
ENSG00000159884,6;5
ENSG00000160058,12
ENSG00000160194,0
ENSG00000160199,6
ENSG00000160201,6
ENSG00000160208,8
ENSG00000160209,1
ENSG00000160214,8
ENSG00000160299,18
ENSG00000160310,7;6
ENSG00000160392,6
ENSG00000160401,7;5
ENSG00000160633,6
ENSG00000160679,4
ENSG00000160685,6
ENSG00000160691,7
ENSG00000160710,8;1
ENSG00000160741,6
ENSG00000160877,6
ENSG00000160888,6
ENSG00000160949,6
ENSG00000160957,1
ENSG00000160999,7
ENSG00000161011,7;9
ENSG00000161016,7;11;8
ENSG00000161021,6
ENSG00000161048,7
ENSG00000161267,0
ENSG00000161277,6
ENSG00000161513,0
ENSG00000161526,6
ENSG00000161533,9
ENSG00000161544,4
ENSG00000161800,6
ENSG00000161813,7
ENSG00000161904,15
ENSG00000162244,7;11;8
ENSG00000162300,12
ENSG00000162419,6
ENSG00000162458,20;22
ENSG00000162521,6
ENSG00000162599,6
ENSG00000162604,6
ENSG00000162613,6
ENSG00000162616,7;6;5
ENSG00000162642,1
ENSG00000162664,12;6;9
ENSG00000162702,6
ENSG00000162735,17
ENSG00000162772,8;1
ENSG00000162775,6
ENSG00000162851,0
ENSG00000162923,7;6
ENSG00000162961,12;6
ENSG00000163104,6
ENSG00000163155,1
ENSG00000163161,6
ENSG00000163166,6
ENSG00000163320,1
ENSG00000163382,7;6
ENSG00000163435,6
ENSG00000163535,6
ENSG00000163558,24;7;21
ENSG00000163605,6
ENSG00000163607,0
ENSG00000163631,11;12
ENSG00000163781,1
ENSG00000163820,9
ENSG00000163902,11
ENSG00000163918,6
ENSG00000163930,6
ENSG00000163931,6
ENSG00000163932,7
ENSG00000163935,6
ENSG00000163938,8
ENSG00000163946,6
ENSG00000163956,11
ENSG00000163960,6
ENSG00000163961,10;6
ENSG00000164022,7
ENSG00000164062,7
ENSG00000164093,1
ENSG00000164134,7
ENSG00000164163,7
ENSG00000164182,0
ENSG00000164284,0
ENSG00000164332,8;1
ENSG00000164362,6
ENSG00000164400,9
ENSG00000164405,0
ENSG00000164466,0
ENSG00000164494,7
ENSG00000164506,7
ENSG00000164587,7;11
ENSG00000164597,12
ENSG00000164609,6
ENSG00000164654,7;6
ENSG00000164754,6
ENSG00000164828,15
ENSG00000164902,6
ENSG00000164919,0
ENSG00000164978,6
ENSG00000164985,6
ENSG00000165006,7;5
ENSG00000165071,0
ENSG00000165092,7
ENSG00000165119,6
ENSG00000165156,6
ENSG00000165264,0
ENSG00000165271,0;8;1
ENSG00000165280,7;6
ENSG00000165495,1
ENSG00000165512,1
ENSG00000165568,12;6
ENSG00000165637,0
ENSG00000165661,12
ENSG00000165688,0
ENSG00000165699,7
ENSG00000165732,8;1
ENSG00000165733,8;1
ENSG00000165792,1
ENSG00000165887,9
ENSG00000166086,12
ENSG00000166130,11
ENSG00000166169,1
ENSG00000166181,4
ENSG00000166197,8
ENSG00000166199,6
ENSG00000166200,9
ENSG00000166228,7;6
ENSG00000166313,5
ENSG00000166333,20;16
ENSG00000166411,0
ENSG00000166477,22;6
ENSG00000166484,7;1
ENSG00000166508,6
ENSG00000166598,11
ENSG00000166710,7;12;5
ENSG00000166747,7;9
ENSG00000166855,0
ENSG00000166888,7;6
ENSG00000166896,5;9
ENSG00000166946,6
ENSG00000166949,7;6
ENSG00000166965,7;5
ENSG00000166986,7
ENSG00000166987,1
ENSG00000167004,11
ENSG00000167110,12
ENSG00000167173,7
ENSG00000167182,6;9
ENSG00000167264,7
ENSG00000167323,11
ENSG00000167325,7
ENSG00000167491,6
ENSG00000167526,7;11;8
ENSG00000167552,21
